Viikko,avocado
2015-01-04,63
2015-01-11,63
2015-01-18,65
2015-01-25,63
2015-02-01,67
2015-02-08,56
2015-02-15,56
2015-02-22,53
2015-03-01,57
2015-03-08,59
2015-03-15,58
2015-03-22,60
2015-03-29,60
2015-04-05,56
2015-04-12,62
2015-04-19,60
2015-04-26,61
2015-05-03,66
2015-05-10,63
2015-05-17,62
2015-05-24,63
2015-05-31,61
2015-06-07,62
2015-06-14,60
2015-06-21,61
2015-06-28,68
2015-07-05,65
2015-07-12,65
2015-07-19,64
2015-07-26,61
2015-08-02,62
2015-08-09,63
2015-08-16,62
2015-08-23,63
2015-08-30,56
2015-09-06,56
2015-09-13,52
2015-09-20,48
2015-09-27,50
2015-10-04,49
2015-10-11,49
2015-10-18,47
2015-10-25,50
2015-11-01,49
2015-11-08,46
2015-11-15,40
2015-11-22,43
2015-11-29,39
2015-12-06,41
2015-12-13,41
2015-12-20,50
2015-12-27,57
2016-01-03,66
2016-01-10,67
2016-01-17,69
2016-01-24,67
2016-01-31,72
2016-02-07,70
2016-02-14,62
2016-02-21,68
2016-02-28,67
2016-03-06,65
2016-03-13,79
2016-03-20,72
2016-03-27,68
2016-04-03,70
2016-04-10,76
2016-04-17,74
2016-04-24,74
2016-05-01,89
2016-05-08,78
2016-05-15,78
2016-05-22,73
2016-05-29,70
2016-06-05,71
2016-06-12,68
2016-06-19,67
2016-06-26,71
2016-07-03,68
2016-07-10,64
2016-07-17,68
2016-07-24,65
2016-07-31,61
2016-08-07,61
2016-08-14,59
2016-08-21,62
2016-08-28,57
2016-09-04,57
2016-09-11,53
2016-09-18,52
2016-09-25,50
2016-10-02,48
2016-10-09,49
2016-10-16,47
2016-10-23,51
2016-10-30,47
2016-11-06,43
2016-11-13,43
2016-11-20,41
2016-11-27,41
2016-12-04,45
2016-12-11,44
2016-12-18,49
2016-12-25,53
2017-01-01,66
2017-01-08,70
2017-01-15,70
2017-01-22,76
2017-01-29,78
2017-02-05,84
2017-02-12,62
2017-02-19,64
2017-02-26,67
2017-03-05,61
2017-03-12,64
2017-03-19,66
2017-03-26,64
2017-04-02,68
2017-04-09,65
2017-04-16,63
2017-04-23,71
2017-04-30,83
2017-05-07,82
2017-05-14,79
2017-05-21,76
2017-05-28,75
2017-06-04,69
2017-06-11,74
2017-06-18,73
2017-06-25,72
2017-07-02,73
2017-07-09,77
2017-07-16,74
2017-07-23,73
2017-07-30,76
2017-08-06,74
2017-08-13,67
2017-08-20,64
2017-08-27,61
2017-09-03,56
2017-09-10,52
2017-09-17,55
2017-09-24,52
2017-10-01,51
2017-10-08,51
2017-10-15,53
2017-10-22,53
2017-10-29,51
2017-11-05,53
2017-11-12,52
2017-11-19,46
2017-11-26,51
2017-12-03,53
2017-12-10,51
2017-12-17,53
2017-12-24,59
2017-12-31,76
2018-01-07,86
2018-01-14,87
2018-01-21,88
2018-01-28,96
2018-02-04,100
2018-02-11,76
2018-02-18,84
2018-02-25,87
2018-03-04,87
2018-03-11,78
2018-03-18,88
2018-03-25,84
